Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
29.0,58.0,34.0,4,4,15,0,37,5
27.0,54.0,30.0,1,7,13,0,13,3
30.0,60.0,58.0,2,8,10,7,32,1
32.0,62.0,34.0,3,9,22,0,24,4
34.0,65.0,60.0,0,8,35,0,0,6
35.0,67.0,42.0,4,0,10,0,35,5
38.0,70.0,48.0,2,10,8,8,28,1
26.0,52.0,32.0,0,5,12,0,8,3
29.0,58.0,43.0,1,6,24,0,18,4
30.0,60.0,29.0,3,2,41,0,0,6
33.0,64.0,51.0,4,3,5,9,29,1
34.0,65.0,31.0,3,9,23,0,21,4
36.0,68.0,33.0,0,5,13,0,14,3
28.0,54.0,38.0,1,7,40,0,0,6
30.0,60.0,47.0,4,0,12,0,42,5
31.0,62.0,63.0,3,1,11,12,15,2
27.0,53.0,43.0,0,4,23,0,24,4
34.0,65.0,54.0,2,10,38,0,0,6
29.0,58.0,37.0,4,4,8,0,15,3
25.0,50.0,56.0,2,8,11,13,15,2
32.0,62.0,34.0,3,2,15,0,37,5
28.0,54.0,41.0,1,6,36,0,0,6
30.0,60.0,49.0,2,10,13,0,9,3
34.0,65.0,64.0,0,1,24,0,20,4
28.0,54.0,47.0,4,0,5,18,15,0
27.0,53.0,35.0,0,5,37,0,0,6
36.0,68.0,62.0,3,1,15,0,40,5
34.0,65.0,57.0,0,8,9,0,13,3
29.0,58.0,55.0,2,8,8,8,33,1
25.0,50.0,40.0,1,7,6,19,16,0
30.0,60.0,38.0,4,4,10,0,14,3
26.0,52.0,39.0,1,7,21,0,23,4
31.0,62.0,32.0,3,9,39,0,0,6
34.0,65.0,48.0,2,10,23,0,19,4
27.0,53.0,34.0,0,5,42,0,0,6
33.0,64.0,31.0,3,2,13,0,39,5
29.0,58.0,42.0,1,6,9,10,22,1
30.0,60.0,47.0,4,3,22,0,21,4
27.0,53.0,59.0,2,8,10,0,15,3
26.0,52.0,36.0,1,7,7,16,20,0
34.0,65.0,63.0,3,1,14,0,38,5
28.0,54.0,43.0,1,6,10,8,29,1
30.0,60.0,40.0,4,4,41,0,0,6
29.0,58.0,65.0,0,1,14,0,35,5
26.0,52.0,59.0,2,8,11,0,9,3
31.0,62.0,44.0,4,0,21,0,28,4
35.0,67.0,28.0,1,7,8,7,31,1
29.0,58.0,30.0,3,9,13,17,16,0
27.0,53.0,30.0,0,4,35,0,0,6
36.0,68.0,50.0,2,10,12,18,19,0
29.0,58.0,61.0,2,1,11,0,38,5
30.0,60.0,26.0,0,5,8,9,30,1
34.0,65.0,45.0,1,6,6,19,21,0
36.0,68.0,41.0,3,2,41,0,0,6
28.0,54.0,25.0,4,3,9,10,30,1
25.0,50.0,32.0,1,7,24,0,19,4
30.0,60.0,27.0,3,9,4,17,17,0
38.0,72.0,51.0,2,10,39,0,0,6
36.0,60.0,43.0,4,4,15,0,41,5
29.0,58.0,57.0,0,8,12,0,10,3
27.58,59.21,31.27,2,1,20,2,15,5
27.45,66.38,50.14,0,4,9,12,14,4
27.25,63.62,40.35,0,10,28,0,22,6
28.84,58.91,33.06,1,4,8,9,28,2
25.86,48.46,46.25,3,2,40,2,0,4
25.59,63.6,46.33,1,1,11,0,11,4
29.17,68.19,30.65,4,5,6,4,14,6
36.05,73.59,58.17,3,4,9,14,11,2
26.76,64.22,53.63,4,2,5,8,30,4
27.66,53.58,40.96,3,1,41,0,3,3
28.27,52.88,43.3,0,10,40,0,0,0
38.39,69.51,65.09,1,5,8,1,16,6
28.74,56.8,54.07,2,1,15,0,35,5
30.63,63.88,38.71,2,6,19,4,28,5
26.02,52.46,31.12,2,0,11,5,12,0
34.71,64.94,52.62,4,5,9,22,21,1
23.71,51.25,30.5,0,5,11,0,8,2
30.63,61.45,23.18,0,3,37,2,4,2
23.63,52.62,31.03,1,8,12,13,13,1
27.65,58.09,69.07,1,5,16,3,32,0
31.19,60.94,30.51,0,6,12,0,36,6
37.12,72.87,47.06,4,9,45,2,0,6
33.52,60.46,47.85,0,7,7,15,16,5
29.44,59.34,55.51,2,8,10,3,31,2
33.24,69.48,65.48,1,1,8,13,28,0
20.85,53.18,43.77,2,9,2,20,19,6
38.42,73.97,50.41,2,8,11,1,36,5
29.04,71.09,21.12,4,3,34,0,3,1
23.59,55.82,62.92,3,8,39,0,0,6
38.56,73.46,30.62,0,7,11,0,32,4
30.87,63.94,46.2,4,1,15,0,8,6
25.83,51.1,59.57,4,3,38,4,0,6
34.51,63.92,70.0,2,8,14,0,35,2
31.92,62.59,27.78,4,7,18,0,25,5
28.43,58.72,43.9,4,8,13,16,11,3
27.53,55.04,57.07,4,7,4,0,14,4
24.53,67.4,48.49,3,6,8,9,18,3
30.82,51.91,54.23,3,10,15,4,33,1
32.53,59.45,20.16,2,1,9,15,16,2
28.17,58.69,34.11,4,1,12,8,33,3
29.25,54.52,41.4,1,6,35,0,0,4
22.26,51.36,48.36,2,9,6,16,17,6
30.76,66.64,56.32,3,2,41,3,4,4
27.84,66.53,36.89,2,8,7,11,20,6
29.21,64.21,54.95,3,10,7,11,31,1
26.01,59.52,35.75,2,7,11,13,15,4
29.5,55.42,51.17,3,1,23,0,23,0
32.98,62.02,33.12,3,10,40,0,0,0
24.24,59.04,50.07,2,0,38,0,1,6
33.54,59.28,52.09,1,10,21,3,20,3
34.43,72.28,62.22,1,2,35,4,0,2
32.19,68.94,67.37,4,0,15,0,33,3
32.55,71.46,67.14,1,5,5,7,32,3
28.38,52.02,43.83,2,10,13,0,38,0
25.4,43.57,38.51,3,3,36,0,0,4
33.8,52.28,53.31,1,4,12,15,15,4
28.38,47.58,34.86,0,6,20,0,20,4
28.37,59.8,35.35,0,5,23,2,16,2
30.08,73.84,41.22,4,8,1,14,22,0
34.95,64.93,62.63,1,10,31,1,0,1
35.56,74.88,52.16,1,1,20,0,21,1
24.05,52.76,58.9,4,5,7,1,7,5
23.42,53.65,69.68,4,0,11,3,14,3
31.68,62.14,42.55,0,8,17,0,31,2
31.03,69.0,49.46,2,3,19,0,19,3
31.78,44.27,45.07,2,3,5,8,32,5
22.3,60.64,40.78,4,2,39,0,2,4
26.39,52.62,22.27,4,1,8,1,43,2
29.36,64.39,20.0,3,9,13,4,39,0
26.67,47.94,34.08,0,8,13,0,8,5
26.75,56.87,20.0,1,0,12,6,30,2
30.64,65.77,32.86,1,8,24,0,17,2
29.89,48.59,38.0,1,7,26,0,21,4
28.61,62.22,41.53,2,2,8,13,18,6
37.09,63.72,47.99,3,8,39,2,0,2
21.78,55.6,33.66,2,3,37,3,0,0
30.42,70.37,55.92,3,10,2,5,25,2
35.39,52.28,42.97,4,7,10,17,12,0
30.53,52.17,41.92,0,5,3,15,15,6
28.09,56.62,36.14,2,2,10,0,34,3
22.95,55.86,31.58,0,6,16,3,22,4
32.06,75.56,55.73,4,9,18,1,38,2
38.4,67.88,62.06,1,3,11,11,16,4
33.59,66.16,69.67,4,7,12,13,27,3
26.47,62.91,46.87,4,2,10,4,11,4
31.56,58.25,29.12,2,5,13,21,14,1
29.13,56.72,67.72,1,2,8,13,32,2
23.35,59.98,63.83,0,5,36,4,0,1
26.75,58.1,39.27,1,3,19,0,20,1
30.42,48.76,42.28,3,4,41,0,1,2
24.9,51.02,31.9,2,2,14,13,8,2
27.31,57.3,22.41,2,10,34,1,0,6
31.5,74.7,23.25,1,2,8,1,9,5
27.63,69.25,41.18,2,4,19,0,26,5
22.59,45.7,33.13,0,3,38,0,4,1
35.97,60.1,26.8,0,9,11,2,40,3
27.69,55.55,27.9,3,8,26,2,22,3
24.27,52.43,62.34,2,4,6,1,14,5
30.42,50.01,26.27,0,2,9,3,11,4
31.52,44.64,42.86,3,0,13,0,35,4
30.64,57.57,46.45,3,10,12,4,13,3
22.17,47.78,43.03,1,6,15,0,16,4
36.5,65.85,42.33,2,3,5,10,32,0
35.13,65.69,37.76,0,3,8,4,6,4
24.82,53.75,47.97,0,2,6,14,10,5
31.24,55.88,37.05,4,5,6,0,9,6
29.77,46.18,63.79,2,1,5,3,14,0
25.86,46.65,32.67,1,5,35,0,0,2
30.15,60.77,42.93,1,1,44,0,0,6
29.46,59.4,49.1,1,2,10,0,12,4
29.37,64.45,64.66,0,1,38,0,0,0
23.63,58.75,35.6,3,5,19,0,18,4
32.45,60.24,55.92,4,4,10,5,31,4
37.34,63.39,25.36,3,6,15,4,39,1
30.41,67.24,65.58,2,1,3,8,34,2
31.9,55.45,59.87,4,0,12,0,37,1
35.85,52.79,54.13,1,1,16,13,16,2
28.87,49.91,35.02,3,7,20,0,23,0
26.33,50.2,45.34,1,5,9,19,18,0
29.67,58.75,40.69,4,8,35,0,0,6
32.2,50.72,39.63,1,2,23,0,15,4
29.24,62.15,51.65,0,4,6,0,41,0
34.15,71.16,41.7,3,6,37,0,1,6
31.56,55.15,56.8,3,0,9,0,35,5
24.76,56.88,20.0,1,5,9,0,36,0
34.15,63.96,47.64,3,0,11,0,14,1
30.7,57.71,38.36,4,10,9,4,18,4
34.89,53.79,37.58,3,2,23,2,22,6
26.7,63.42,24.65,4,1,13,1,42,2
23.75,61.43,52.94,0,2,37,0,0,5
25.73,52.9,46.14,3,1,21,0,18,3
25.36,50.91,24.39,2,10,13,0,10,3
36.35,61.89,65.38,0,8,39,0,0,5
21.91,46.66,45.27,0,4,24,0,21,1
26.44,65.84,50.2,1,7,10,0,9,4
28.93,50.28,20.33,3,10,8,0,12,6
30.06,53.68,70.0,4,3,7,6,34,3
35.29,64.13,46.59,1,7,16,13,13,1
24.61,63.9,70.0,2,7,41,2,0,5
29.38,60.44,45.57,1,4,19,0,22,1
30.2,51.16,32.5,3,0,20,0,19,5
32.46,68.2,64.77,4,8,11,0,9,1
24.26,53.19,67.73,1,5,34,0,4,5
37.9,75.51,25.35,1,2,11,0,35,5
31.1,55.48,46.43,4,1,34,0,2,6
31.75,62.4,34.97,0,10,17,0,15,6
27.29,57.56,53.09,0,7,15,11,11,3
26.71,55.89,69.87,2,6,15,0,40,1
29.25,56.07,33.6,0,5,21,0,18,5
29.73,58.67,29.64,3,0,17,0,20,2
31.62,57.88,42.77,1,5,10,12,18,1
25.93,54.07,23.84,2,3,8,13,12,1
26.47,55.37,59.34,4,3,11,1,12,3
21.92,53.0,33.57,0,0,18,0,42,2
24.35,58.11,34.04,1,5,4,0,10,4
29.55,45.99,50.06,3,8,9,4,10,0
28.29,60.24,33.44,0,7,33,0,2,5
31.31,73.26,70.0,2,7,11,2,41,1
30.05,58.21,23.31,2,1,43,0,0,2
31.27,62.18,32.06,4,6,21,4,24,1
32.51,61.45,70.0,2,2,10,1,32,6
23.98,44.94,20.0,4,5,14,11,13,4
30.28,69.29,53.16,4,9,39,1,2,0
28.02,54.85,55.71,4,8,10,9,18,3
28.66,56.26,39.29,0,8,37,0,1,5
30.85,70.39,29.35,0,4,22,0,26,0
24.51,62.55,65.83,2,7,13,4,5,6
22.33,56.84,29.98,0,2,18,4,23,1
29.75,55.39,28.42,4,9,42,1,4,1
28.27,52.86,22.36,1,2,41,0,2,0
33.27,67.2,40.49,2,6,17,0,12,0
38.53,70.2,28.94,2,4,10,0,32,2
25.2,60.02,69.92,4,5,8,14,31,3
23.66,55.66,31.32,3,10,38,0,2,3
35.01,71.58,39.2,0,10,9,0,16,1
36.92,69.78,32.64,1,3,12,2,31,1
23.74,47.23,43.64,3,9,18,0,19,0
30.51,48.99,28.68,0,9,6,0,11,1
27.02,68.83,33.05,0,9,0,16,19,6
27.77,42.89,59.1,3,0,6,2,13,6
39.65,63.55,47.33,3,1,3,12,30,6
37.27,64.08,36.28,3,0,15,4,45,3
27.93,64.17,62.13,0,7,7,0,6,3
29.95,61.75,36.58,0,8,37,0,0,4
24.97,59.24,47.46,4,6,26,0,21,3
27.68,61.68,59.47,1,6,18,0,36,2
23.82,47.74,30.62,0,1,2,20,12,2
34.57,69.61,57.23,1,7,38,0,0,5
35.1,70.14,56.12,2,7,16,0,44,3
33.71,59.42,29.32,0,0,16,0,38,1
24.75,45.31,49.7,1,1,23,0,23,0
37.36,59.64,53.7,2,4,3,12,31,0
32.22,56.29,48.76,0,3,35,0,2,0
32.35,48.81,46.33,2,6,31,3,0,3
40.0,80.0,59.99,1,1,42,0,0,0
25.85,62.32,48.82,3,1,33,3,0,5
30.61,66.36,42.09,3,0,8,22,18,5
34.51,54.79,54.12,2,3,5,6,26,4
29.66,43.74,43.31,3,6,35,3,2,3
31.75,46.82,37.35,3,3,16,0,15,5
25.43,68.65,39.28,3,5,20,0,17,0
30.97,58.53,29.79,2,10,10,21,13,2
28.58,71.66,46.04,3,5,10,12,9,0
29.87,63.64,61.4,0,10,15,16,10,3
25.09,54.56,34.08,3,3,19,0,21,4
29.76,45.13,30.91,3,1,35,2,0,5
31.38,69.36,35.4,0,9,35,3,0,6
36.7,70.28,23.31,4,2,37,0,0,0
26.91,44.27,23.76,2,0,18,0,45,0
30.83,53.08,47.02,0,5,7,0,5,5
31.98,55.89,57.6,3,0,37,4,0,2
30.46,48.84,33.31,3,6,23,1,25,1
29.24,54.29,47.85,1,6,14,9,32,6
31.38,67.84,59.74,2,3,12,0,34,0
29.08,54.19,61.72,1,3,41,0,1,1
40.0,60.8,50.41,0,1,12,10,23,0
23.18,53.55,20.0,0,2,19,15,15,2
32.61,54.79,70.0,0,0,40,4,0,6
36.12,72.17,33.4,4,6,9,0,37,6
23.88,57.05,35.25,2,0,40,3,0,3
30.78,64.7,35.01,1,7,14,0,12,0
36.46,65.08,43.87,3,6,10,8,27,0
40.0,77.61,29.53,2,8,7,4,45,0
32.0,57.73,35.48,0,10,42,0,0,0
32.69,69.21,22.19,0,8,4,10,26,3
29.63,45.37,21.76,0,8,14,0,11,4
34.22,56.39,49.89,3,7,25,0,19,1
36.56,76.26,36.26,4,10,7,11,34,0
37.0,62.94,55.83,2,7,35,1,0,3
37.66,74.6,28.6,0,4,36,3,3,5
36.42,75.12,46.56,4,2,14,2,37,5
29.92,50.41,62.32,1,2,8,9,32,0
31.96,49.13,52.38,2,3,8,0,38,0
38.65,62.79,58.95,0,1,10,0,43,3
24.94,50.42,55.75,3,9,35,0,1,1
26.11,52.09,44.94,0,7,25,4,22,6
39.68,75.02,51.69,1,0,3,4,31,1
32.74,64.14,68.56,3,4,12,0,39,0
25.3,50.31,45.77,2,9,14,1,36,1
29.37,61.61,33.0,2,5,4,9,26,0
35.12,61.28,35.3,3,8,11,0,36,6
31.57,46.3,28.05,3,9,36,0,0,1
38.0,61.23,26.32,0,10,9,4,38,2
36.29,71.0,56.12,0,0,38,0,0,5
32.76,61.99,68.62,0,7,13,0,38,5
33.01,61.9,32.87,4,10,41,3,1,4
27.09,64.13,38.0,0,6,28,0,27,4
30.15,68.23,37.36,4,10,11,0,9,4
31.12,54.41,55.18,1,5,12,0,31,5
31.08,61.81,34.73,3,10,38,3,0,5
34.99,65.23,27.62,1,3,1,17,13,0
28.29,46.16,41.47,0,4,3,12,16,3
37.61,61.11,36.72,2,0,10,2,42,6
36.02,69.03,54.45,4,0,21,0,22,3
28.58,41.09,30.84,3,9,21,0,22,2
24.6,52.29,30.92,0,9,16,0,39,5
29.87,56.39,37.84,4,1,13,4,6,0
29.85,47.2,57.02,4,4,27,0,20,0
26.12,63.44,63.43,2,4,5,10,36,5
34.94,57.44,52.37,4,10,5,3,5,5
31.59,63.18,56.9,0,6,16,4,36,0
37.33,67.17,37.59,2,3,11,0,42,0
24.02,45.09,67.89,2,9,37,1,2,1
33.56,66.29,26.04,1,10,43,2,2,1
30.78,50.3,52.95,1,0,25,0,22,3
32.39,66.19,63.37,1,2,10,7,26,0
31.26,67.75,26.57,0,0,23,2,22,6
38.04,69.01,42.8,3,2,9,8,32,0
32.73,62.66,34.5,3,6,12,1,44,2
27.79,60.14,41.16,1,6,37,0,4,0
32.24,55.75,45.85,0,7,44,0,0,3
31.18,60.59,20.77,0,7,12,0,42,4
34.04,65.18,55.33,0,2,12,7,32,4
28.92,49.12,20.0,0,7,11,14,31,2
36.08,74.86,38.71,3,10,8,20,21,0
32.57,62.47,37.05,4,4,14,3,36,6
32.53,51.27,44.71,4,2,38,0,4,1
25.19,60.71,52.06,3,6,26,0,25,1
28.66,47.45,44.04,2,10,36,0,4,3
24.59,58.22,64.12,4,6,9,14,12,0
25.71,59.93,51.81,1,9,8,0,37,2
28.24,54.62,35.02,1,10,10,0,12,5
33.95,61.0,45.29,1,3,18,3,17,2
33.88,59.02,35.32,1,8,11,4,27,5
30.87,58.93,70.0,1,5,2,9,32,4
33.25,69.66,51.62,4,3,36,0,4,6
30.25,72.59,57.4,0,7,4,0,15,4
31.59,67.65,56.8,4,5,7,3,42,6
37.68,62.61,54.72,0,2,41,0,4,6
30.23,70.15,26.2,3,5,19,0,33,2
30.29,58.63,51.24,2,2,24,0,16,2
27.47,53.06,40.0,3,6,8,0,40,4
29.05,52.0,53.16,0,1,19,0,15,4
22.27,58.06,38.54,0,9,2,16,19,4
26.4,57.87,57.72,4,1,36,0,2,1
24.38,52.09,25.67,2,8,13,10,26,4
33.24,51.28,65.32,0,7,5,14,29,6
27.41,52.54,41.48,0,0,9,0,10,6
32.64,77.53,39.18,1,3,12,0,34,3
27.61,71.93,41.84,3,0,18,0,29,2
36.71,76.2,24.17,4,0,10,0,17,1
31.72,71.9,41.1,1,5,14,2,38,3
38.33,70.83,45.85,2,1,1,14,17,6
31.36,44.29,43.74,4,7,10,0,40,2
31.97,57.04,39.26,2,3,23,0,26,0
30.86,66.38,42.56,1,8,15,0,41,1
29.81,63.42,20.0,2,4,12,0,37,0
30.18,68.42,36.95,1,0,34,2,1,2
25.23,62.86,38.43,3,1,41,0,4,3
37.04,68.38,51.4,3,3,4,9,28,4
26.14,52.36,40.32,1,6,24,0,17,1
25.71,49.13,33.26,4,8,5,10,31,1
30.12,69.25,21.43,2,6,39,1,4,4
27.34,63.01,48.83,0,1,21,2,23,0
30.29,69.44,58.64,1,7,40,0,0,1
33.67,68.27,57.75,1,4,34,4,0,5
34.7,66.76,69.2,2,8,7,14,16,3
34.38,60.73,50.97,3,5,9,11,8,5
33.48,62.18,48.6,0,10,9,3,13,3
33.6,60.98,68.08,1,9,13,10,30,1
31.74,62.32,52.3,2,8,6,4,40,6
27.11,49.05,43.91,0,5,18,4,27,3
29.56,70.11,44.74,4,10,44,0,0,3
33.71,58.93,43.88,2,0,18,0,33,5
21.93,44.5,63.49,3,3,15,1,7,1
33.53,60.05,37.18,3,3,12,1,40,3
25.31,51.61,33.05,3,2,17,0,40,5
31.78,65.4,52.23,4,2,18,0,42,0
34.68,58.89,27.43,4,7,39,1,0,4
39.75,60.73,38.94,1,4,11,0,42,2
22.69,51.37,61.27,4,5,8,0,19,6
24.06,40.2,34.24,0,10,2,19,12,0
38.25,74.83,48.66,1,8,36,0,3,2
40.0,64.51,51.07,3,4,36,0,0,4
35.73,71.25,45.65,1,4,12,3,30,3
31.33,52.44,48.45,0,3,40,0,2,5
32.64,71.49,45.45,0,3,9,17,16,1
24.83,51.23,46.97,3,4,19,0,18,4
30.57,73.76,66.01,2,5,18,0,39,2
27.61,52.18,38.91,0,9,36,0,3,3
25.3,51.45,24.59,4,0,9,9,32,2
31.71,58.44,35.47,2,7,14,0,34,6
25.28,55.82,32.12,1,0,6,12,13,0
29.97,58.25,31.86,2,8,38,0,0,4
32.38,58.5,45.02,3,10,8,0,38,3
30.69,59.44,51.07,4,8,26,0,17,0
33.71,71.14,43.81,1,4,37,0,4,2
26.91,52.52,30.81,0,1,17,3,41,4
29.32,51.48,40.11,3,9,20,0,22,6
25.99,55.37,65.56,4,10,9,4,12,4
33.65,66.5,65.99,0,10,9,8,32,5
29.23,55.19,29.27,3,10,20,2,20,4
25.5,65.19,38.34,2,5,40,0,2,6
26.92,56.83,44.88,2,10,34,2,3,6
35.51,70.33,59.14,2,6,40,0,0,5
27.1,61.29,41.14,4,9,28,3,16,0
32.66,55.25,20.0,3,6,0,13,16,0
35.8,55.37,57.55,1,3,7,8,27,1
29.38,54.47,52.56,4,3,22,0,24,1
36.66,76.82,39.74,4,4,7,8,30,0
32.53,60.02,29.35,1,10,10,4,42,6
32.66,74.93,33.56,0,7,13,0,12,2
34.63,63.8,24.01,0,3,11,0,38,6
24.84,62.63,36.65,0,5,7,8,28,0
29.0,44.56,33.96,3,4,16,1,16,3
35.26,53.82,24.93,3,2,21,2,19,6
33.42,55.5,64.41,0,6,5,5,32,2
28.04,55.51,49.43,4,10,40,0,4,4
34.9,61.86,35.47,1,4,22,4,26,3
22.34,53.62,38.61,3,10,16,1,5,2
28.11,47.2,36.8,1,6,10,0,35,3
34.35,66.79,51.52,0,10,4,9,24,2
28.74,48.61,35.72,3,9,14,3,37,1
22.56,50.58,29.13,2,5,12,0,17,3
26.95,50.63,43.0,4,0,28,0,14,0
26.39,54.79,46.15,4,10,25,0,19,5
30.13,72.21,35.94,3,2,39,3,0,1
35.71,67.62,25.16,3,7,35,0,2,2
28.88,60.85,28.57,1,0,19,0,40,0
27.05,44.74,56.64,3,8,11,0,4,0
29.34,44.01,41.14,2,9,42,0,0,1
39.33,67.44,37.85,2,8,7,0,37,1
28.53,59.01,60.57,1,2,8,0,40,4
23.12,58.63,37.49,0,1,33,3,0,1
31.53,58.95,51.37,1,6,17,0,21,1
33.55,60.65,58.59,3,10,8,2,9,3
30.15,64.35,67.45,0,7,14,12,11,3
39.81,63.65,63.69,3,9,11,4,37,1
34.51,52.14,70.0,1,8,4,11,26,4
35.66,54.44,42.29,2,8,26,0,18,2
25.65,62.92,28.49,4,0,44,0,2,1
28.51,44.09,28.38,0,2,36,0,0,0
30.09,54.43,60.02,3,3,12,0,31,2
22.27,61.81,43.11,3,6,10,15,20,5
38.38,65.51,46.26,0,3,9,18,17,4
32.61,50.77,63.48,3,2,8,0,39,6
26.99,47.9,45.66,3,6,18,0,11,0
29.77,63.41,50.3,0,4,16,0,7,2
28.27,59.38,45.0,2,2,13,3,41,0
33.5,53.07,46.85,3,1,24,0,29,2
37.95,68.37,55.82,2,7,37,4,0,1
25.06,64.02,38.39,0,2,26,3,22,5
26.79,62.91,25.01,2,8,14,0,35,5
26.72,52.56,31.72,4,6,12,0,41,5
22.39,61.19,37.56,0,4,21,4,21,1
30.98,72.26,70.0,4,10,3,6,26,1
30.37,74.96,45.96,4,3,3,18,20,6
36.58,61.79,40.55,2,3,16,2,44,5
26.45,60.78,50.52,4,10,18,0,24,4
25.6,52.6,54.46,3,3,13,0,13,6
35.57,72.13,33.41,3,4,35,2,0,6
33.06,60.37,69.48,4,4,12,0,39,4
29.39,53.28,40.12,2,7,17,0,21,6
28.21,59.37,42.81,3,6,46,4,4,2
35.57,60.63,45.71,0,8,7,4,31,1
37.32,76.39,48.4,2,1,9,20,18,4
40.0,56.27,40.77,2,4,13,2,37,6
39.82,70.94,30.3,2,7,8,3,30,4
38.99,74.78,27.58,0,6,9,0,17,6
27.9,58.51,31.93,3,4,36,3,3,3
33.88,68.15,42.03,4,8,9,12,32,4
40.0,71.79,58.99,0,8,19,1,39,1
30.18,53.72,36.61,3,0,10,0,14,2
32.53,56.27,29.85,1,7,33,0,0,2
33.72,50.47,44.08,0,7,11,0,16,0
31.86,51.97,62.52,0,9,5,11,33,4
34.28,52.14,44.07,0,9,39,4,0,0
25.94,60.8,62.34,1,2,11,0,19,6
26.63,56.66,45.46,3,7,23,1,21,5
35.09,63.88,46.21,2,1,26,4,25,3
32.66,59.08,54.63,3,4,14,2,9,6
34.76,67.48,24.8,2,9,34,0,0,2
31.21,56.6,34.03,4,10,18,2,40,1
34.72,67.85,69.81,2,0,4,4,29,6
23.38,55.92,50.56,1,10,7,20,19,1
30.14,55.49,45.37,1,5,34,4,0,5
29.71,50.93,41.83,4,10,12,4,39,1
30.88,51.0,46.08,3,4,8,5,27,4
31.28,68.41,27.47,0,5,19,0,25,0
32.92,77.29,48.08,1,6,11,14,22,0
25.87,69.73,28.7,1,10,16,2,40,2
30.53,63.85,56.3,4,0,39,1,1,3
37.03,69.99,42.75,1,6,39,0,0,1
37.38,70.59,66.29,4,3,8,2,17,3
28.44,55.23,33.64,3,2,24,0,17,0
24.57,49.59,48.59,4,2,25,0,19,2
25.23,48.23,21.3,0,3,13,17,13,6
30.98,60.86,33.37,3,5,12,0,44,3
28.45,55.92,48.02,0,1,18,2,19,2
22.21,43.72,21.74,1,5,14,15,14,6
36.2,55.53,54.66,1,8,12,1,37,0
32.48,64.01,50.17,2,9,11,1,39,3
29.67,60.0,70.0,3,9,13,3,8,6
30.62,59.17,45.5,4,2,36,0,3,3
29.51,55.64,28.32,2,9,16,0,33,6
29.64,54.26,30.97,0,1,8,2,11,6
30.83,64.19,23.01,1,7,8,2,27,6
34.15,50.64,39.17,2,4,41,0,0,2
32.54,52.1,29.86,4,6,7,8,27,3
35.15,65.46,50.44,3,7,24,4,19,6
32.88,70.34,29.01,2,2,7,0,41,1
32.26,57.08,42.58,1,2,35,0,0,6
28.94,60.34,31.18,2,4,12,4,36,2
24.61,43.14,27.28,3,5,45,1,0,4
32.63,71.17,55.93,2,4,11,10,27,6
31.18,72.57,46.74,2,3,9,7,27,1
23.69,57.9,39.61,4,1,6,11,31,1
32.48,53.65,28.91,1,9,41,3,0,2
28.7,53.21,40.31,4,2,26,0,14,1
32.8,71.66,44.08,3,5,12,9,14,6
37.65,60.86,24.45,0,3,7,0,34,0
26.1,50.4,41.08,0,5,3,16,17,4
31.22,74.54,61.36,4,3,9,0,38,6
36.78,69.9,38.86,3,2,13,1,37,5
38.75,58.17,52.93,2,3,33,0,3,4
29.13,47.06,44.06,3,7,1,17,12,3
28.65,62.64,41.6,2,7,30,0,1,5
20.54,40.79,56.58,1,1,32,0,2,4
27.19,62.12,35.74,3,1,45,0,0,6
